dataset,scenario,backbone,finetune,accuracy,precision,recall,f1,roc_auc
cedar,wd,resnet50,none,0.945,0.914,0.981,0.946,0.991
cedar,wd,vgg19,none,0.9773,0.9628,0.9923,0.9774,0.9963
cedar,wd,densenet121,none,0.9621,0.9582,0.9655,0.9618,0.9964
cedar,wd,efficientnet_b0,none,0.9697,0.9658,0.9732,0.9695,0.9940
cedar,wi,resnet50,none,0.866,0.832,0.917,0.872,0.938
cedar,wi,vgg19,none,0.9148,0.9544,0.8712,0.9109,0.9760
cedar,wi,densenet121,none,0.8788,0.8165,0.9773,0.8897,0.9853
cedar,wi,efficientnet_b0,none,0.9167,0.8819,0.9621,0.9203,0.9808
bhsig,wd,resnet50,none,0.772,0.770,0.675,0.719,0.831
bhsig,wd,vgg19,none,0.9583,0.9606,0.9425,0.9515,0.9918
bhsig,wd,densenet121,none,0.7991,0.7852,0.7387,0.7612,0.8722
bhsig,wd,efficientnet_b0,none,0.7536,0.7531,0.6417,0.6930,0.8196
bhsig,wi,resnet50,none,0.808,0.812,0.740,0.775,0.880
bhsig,wi,vgg19,none,0.8226,0.8044,0.7941,0.7992,0.8847
bhsig,wi,densenet121,none,0.8184,0.7985,0.7909,0.7947,0.8923
bhsig,wi,efficientnet_b0,none,0.7902,0.8422,0.6498,0.7336,0.8678
utsig,wd,resnet50,none,0.756,0.724,0.673,0.697,0.827
utsig,wd,vgg19,none,0.9061,0.9269,0.8416,0.8822,0.9614
utsig,wd,densenet121,none,0.7335,0.6942,0.6471,0.6698,0.7974
utsig,wd,efficientnet_b0,none,0.7410,0.6950,0.6772,0.6860,0.8121
utsig,wi,resnet50,none,0.728,0.665,0.614,0.638,0.794
utsig,wi,vgg19,none,0.6629,0.6327,0.3301,0.4339,0.6900
utsig,wi,densenet121,none,0.7347,0.6976,0.5684,0.6264,0.7883
utsig,wi,efficientnet_b0,none,0.7007,0.6170,0.6200,0.6185,0.7489
